
Dump of file C:\Windows\System32\WsmSvc.dll
       1713  6B0 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCClientConfigSettings@@@@PEAVCClientConfigSettings@@@@QEAAPEAVCClientConfigSettings@@XZ
       1714  6B1 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCConfigCacheMap@CBaseConfigCache@@@@PEAVCConfigCacheMap@CBaseConfigCache@@@@QEAAPEAVCConfigCacheMap@CBaseConfigCache@@XZ
       1715  6B2 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCConfigManager@@@@PEAVCConfigManager@@@@QEAAPEAVCConfigManager@@XZ
       1716  6B3 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCListenerReceive@@@@PEAVCListenerReceive@@@@QEAAPEAVCListenerReceive@@XZ
       1717  6B4 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCRemoteSession@@@@PEAVCRemoteSession@@@@QEAAPEAVCRemoteSession@@XZ
       1718  6B5 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCRemoteSession@@@@PEAVCRemoteSession@@@@QEBAQEAVCRemoteSession@@XZ
       1719  6B6 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCRequestContext@@@@PEAVCRequestContext@@@@QEAAPEAVCRequestContext@@XZ
       1720  6B7 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCServiceCommonConfigSettings@@@@PEAVCServiceCommonConfigSettings@@@@QEAAPEAVCServiceCommonConfigSettings@@XZ
       1721  6B8 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCServiceConfigCache@@@@PEAVCServiceConfigCache@@@@QEAAPEAVCServiceConfigCache@@XZ
       1722  6B9 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCServiceConfigSettings@@@@PEAVCServiceConfigSettings@@@@QEAAPEAVCServiceConfigSettings@@XZ
       1723  6BA 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManEPR@@@@PEAVCWSManEPR@@@@QEAAPEAVCWSManEPR@@XZ
       1724  6BB 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManEPR@@@@PEAVCWSManEPR@@@@QEBAQEAVCWSManEPR@@XZ
       1725  6BC 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManGroupPolicyCache@@@@PEAVCWSManGroupPolicyCache@@@@QEAAPEAVCWSManGroupPolicyCache@@XZ
       1726  6BD 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManGroupPolicyManager@@@@PEAVCWSManGroupPolicyManager@@@@QEAAPEAVCWSManGroupPolicyManager@@XZ
       1727  6BE 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManObject@@@@PEAVCWSManObject@@@@QEAAPEAVCWSManObject@@XZ
       1728  6BF 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWSManResource@@@@PEAVCWSManResource@@@@QEAAPEAVCWSManResource@@XZ
       1729  6C0 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWinRSPluginConfigCache@@@@PEAVCWinRSPluginConfigCache@@@@QEAAPEAVCWinRSPluginConfigCache@@XZ
       1730  6C1 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWinRSPluginConfigCache@@@@PEAVCWinRSPluginConfigCache@@@@QEBAQEAVCWinRSPluginConfigCache@@XZ
       1731  6C2 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCWinRSPluginConfigSettings@@@@PEAVCWinRSPluginConfigSettings@@@@QEAAPEAVCWinRSPluginConfigSettings@@XZ
       1732  6C3 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCommand@Client@WSMan@@@@PEAVCommand@Client@WSMan@@@@QEAAPEAVCommand@Client@WSMan@@XZ
       1733  6C4 00035960 ??C?$AutoCleanup@V?$AutoRelease@VConfigNotification@@@@PEAVConfigNotification@@@@QEAAPEAVConfigNotification@@XZ
       1734  6C5 00035960 ??C?$AutoCleanup@V?$AutoRelease@VConnectShellOperation@Client@WSMan@@@@PEAVConnectShellOperation@Client@WSMan@@@@QEAAPEAVConnectShellOperation@Client@WSMan@@XZ
       1735  6C6 00035960 ??C?$AutoCleanup@V?$AutoRelease@VCreateShellOperation@Client@WSMan@@@@PEAVCreateShellOperation@Client@WSMan@@@@QEAAPEAVCreateShellOperation@Client@WSMan@@XZ
       1736  6C7 00035960 ??C?$AutoCleanup@V?$AutoRelease@VDeleteShellOperation@Client@WSMan@@@@PEAVDeleteShellOperation@Client@WSMan@@@@QEAAPEAVDeleteShellOperation@Client@WSMan@@XZ
       1737  6C8 00035960 ??C?$AutoCleanup@V?$AutoRelease@VDisconnectOperation@Client@WSMan@@@@PEAVDisconnectOperation@Client@WSMan@@@@QEAAPEAVDisconnectOperation@Client@WSMan@@XZ
       1738  6C9 00035960 ??C?$AutoCleanup@V?$AutoRelease@VEnumSinkEx@@@@PEAVEnumSinkEx@@@@QEAAPEAVEnumSinkEx@@XZ
       1739  6CA 00035960 ??C?$AutoCleanup@V?$AutoRelease@VEnumSinkEx@@@@PEAVEnumSinkEx@@@@QEBAQEAVEnumSinkEx@@XZ
       1740  6CB 00035960 ??C?$AutoCleanup@V?$AutoRelease@VGeneralSinkEx@@@@PEAVGeneralSinkEx@@@@QEAAPEAVGeneralSinkEx@@XZ
       1741  6CC 00035960 ??C?$AutoCleanup@V?$AutoRelease@VGeneralSinkEx@@@@PEAVGeneralSinkEx@@@@QEBAQEAVGeneralSinkEx@@XZ
       1742  6CD 00035960 ??C?$AutoCleanup@V?$AutoRelease@VIPCSoapProcessor@@@@PEAVIPCSoapProcessor@@@@QEAAPEAVIPCSoapProcessor@@XZ
       1743  6CE 00035960 ??C?$AutoCleanup@V?$AutoRelease@VIRequestContext@@@@PEAVIRequestContext@@@@QEAAPEAVIRequestContext@@XZ
       1744  6CF 00035960 ??C?$AutoCleanup@V?$AutoRelease@VIRequestContext@@@@PEAVIRequestContext@@@@QEBAQEAVIRequestContext@@XZ
       1745  6D0 00035960 ??C?$AutoCleanup@V?$AutoRelease@VInboundRequestDetails@@@@PEAVInboundRequestDetails@@@@QEAAPEAVInboundRequestDetails@@XZ
       1746  6D1 00035960 ??C?$AutoCleanup@V?$AutoRelease@VInboundRequestDetails@@@@PEAVInboundRequestDetails@@@@QEBAQEAVInboundRequestDetails@@XZ
       1747  6D2 00035960 ??C?$AutoCleanup@V?$AutoRelease@VReceiveOperation@Client@WSMan@@@@PEAVReceiveOperation@Client@WSMan@@@@QEAAPEAVReceiveOperation@Client@WSMan@@XZ
       1748  6D3 00035960 ??C?$AutoCleanup@V?$AutoRelease@VReconnectOperation@Client@WSMan@@@@PEAVReconnectOperation@Client@WSMan@@@@QEAAPEAVReconnectOperation@Client@WSMan@@XZ
       1749  6D4 00035960 ??C?$AutoCleanup@V?$AutoRelease@VSendOperation@Client@WSMan@@@@PEAVSendOperation@Client@WSMan@@@@QEAAPEAVSendOperation@Client@WSMan@@XZ
       1750  6D5 00035960 ??C?$AutoCleanup@V?$AutoRelease@VShell@Client@WSMan@@@@PEAVShell@Client@WSMan@@@@QEAAPEAVShell@Client@WSMan@@XZ
       1751  6D6 00035960 ??C?$AutoCleanup@V?$AutoRelease@VShell@Client@WSMan@@@@PEAVShell@Client@WSMan@@@@QEBAQEAVShell@Client@WSMan@@XZ
       1752  6D7 00035960 ??C?$AutoCleanup@V?$AutoRelease@VSignalOperation@Client@WSMan@@@@PEAVSignalOperation@Client@WSMan@@@@QEAAPEAVSignalOperation@Client@WSMan@@XZ
       1753  6D8 00035960 ??C?$AutoCleanup@V?$AutoRelease@VUserRecord@@@@PEAVUserRecord@@@@QEAAPEAVUserRecord@@XZ
       1754  6D9 00035960 ??C?$AutoCleanup@V?$AutoRelease@VWSManHttpListener@@@@PEAVWSManHttpListener@@@@QEAAPEAVWSManHttpListener@@XZ
       1755  6DA 00035960 ??C?$AutoCleanup@VAutoBstrNoAlloc@@PEAG@@QEAAPEAGXZ
       1756  6DB 00035960 ??C?$AutoCleanup@VAutoBstrNoAlloc@@PEAG@@QEBAQEAGXZ
       1757  6DC 00035960 ??C?$AutoCleanup@VAutoChainContext@@PEBU_CERT_CHAIN_CONTEXT@@@@QEAAPEBU_CERT_CHAIN_CONTEXT@@XZ
       1758  6DD 00035960 ??C?$AutoCleanup@VAutoImpersonateUser@@PEAX@@QEAAPEAXXZ
       1759  6DE 00035960 ??C?$AutoCleanup@VAutoImpersonateUser@@PEAX@@QEBAQEAXXZ
       1760  6DF 00035960 ??C?$AutoCleanup@VAutoMIClass@@PEAU_MI_Class@@@@QEAAPEAU_MI_Class@@XZ
       1761  6E0 001373F0 ??C?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@QEBAAEAPEAVExpiredOperationIdRecord@@XZ
       1762  6E1 00132690 ??C?$SafeSet_Iterator@PEAVCListenerOperation@@@@QEBAAEBQEAVCListenerOperation@@XZ
       1763  6E2 000B74D0 ??D?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@QEBAAEAVCertThumbprintMappedSet@CServiceConfigSettings@@XZ
       1764  6E3 0008E000 ??D?$SafeMap_Iterator@VKey@Locale@@K@@QEBAAEAKXZ
       1765  6E4 000B74D0 ??D?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@QEBAAEAPEAVExpiredOperationIdRecord@@XZ
       1766  6E5 000B74D0 ??D?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@QEBAAEAPEAVOptionValue@SessionOptions@Client@WSMan@@XZ
       1767  6E6 00132690 ??D?$SafeSet_Iterator@PEAVCCertMapping@@@@QEBAAEBQEAVCCertMapping@@XZ
       1768  6E7 00132690 ??D?$SafeSet_Iterator@PEAVCListenerOperation@@@@QEBAAEBQEAVCListenerOperation@@XZ
       1769  6E8 00132690 ??D?$SafeSet_Iterator@PEAVCShellUriSettings@@@@QEBAAEBQEAVCShellUriSettings@@XZ
       1770  6E9 000B9EF0 ??E?$SafeMap_Iterator@PEAVCCertMapping@@UEmpty@@@@QEAAXH@Z
       1771  6EA 000B9EF0 ??E?$SafeMap_Iterator@PEAVCListenerOperation@@UEmpty@@@@QEAAXH@Z
       1772  6EB 000B9EF0 ??E?$SafeMap_Iterator@PEAVCShellUriSettings@@UEmpty@@@@QEAAXH@Z
       1773  6EC 000B7520 ??E?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@QEAAXH@Z
       1774  6ED 0011EB60 ??E?$SafeMap_Iterator@VStringKeyCI@@K@@QEAAXH@Z
       1775  6EE 0011EBF0 ??E?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@QEAAXH@Z
       1776  6EF 000B7520 ??E?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@QEAAXH@Z
       1777  6F0 000B7520 ??E?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@QEAAXH@Z
       1778  6F1 001C8828 ??_7?$SafeMap@PEAVCCertMapping@@UEmpty@@V?$SafeSet_Iterator@PEAVCCertMapping@@@@@@6B@
       1779  6F2 001C8828 ??_7?$SafeMap@PEAVCListenerOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@6B@
       1780  6F3 001C8828 ??_7?$SafeMap@PEAVCShellUriSettings@@UEmpty@@V?$SafeSet_Iterator@PEAVCShellUriSettings@@@@@@6B@
       1781  6F4 001C8828 ??_7?$SafeMap@PEAVCollector@@UEmpty@@V?$SafeSet_Iterator@PEAVCollector@@@@@@6B@
       1782  6F5 001C8848 ??_7?$SafeMap@PEAVHostOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVHostOperation@@@@@@6B@
       1783  6F6 001C5B20 ??_7?$SafeMap@PEAVIOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVIOperation@@@@@@6B@
       1784  6F7 001C8828 ??_7?$SafeMap@PEAVListenerSourceSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVListenerSourceSubscription@@@@@@6B@
       1785  6F8 001C6CA0 ??_7?$SafeMap@PEAVPushSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVPushSubscription@@@@@@6B@
       1786  6F9 001C8828 ??_7?$SafeMap@PEAXUEmpty@@V?$SafeSet_Iterator@PEAX@@@@6B@
       1787  6FA 001C8848 ??_7?$SafeMap@UPluginKey@@KV?$SafeMap_Iterator@UPluginKey@@K@@@@6B@
       1788  6FB 001CC180 ??_7?$SafeMap@UUserKey@@PEAVBlockedRecord@@V?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@@@6B@
       1789  6FC 001C8AB0 ??_7?$SafeMap@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@V?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@@@6B@
       1790  6FD 001C5DC0 ??_7?$SafeMap@VKey@Locale@@KV?$SafeMap_Iterator@VKey@Locale@@K@@@@6B@
       1791  6FE 001C8848 ??_7?$SafeMap@VStringKeyCI@@KV?$SafeMap_Iterator@VStringKeyCI@@K@@@@6B@
       1792  6FF 001C8828 ??_7?$SafeMap@VStringKeyCI@@UEmpty@@V?$SafeSet_Iterator@VStringKeyCI@@@@@@6B@
       1793  700 001CC1C8 ??_7?$SafeMap@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@V?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@@@6B@
       1794  701 001CC378 ??_7?$SafeMap@VStringKeyStore@@PEAVExpiredOperationIdRecord@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@@@6B@
       1795  702 001CC248 ??_7?$SafeMap@VStringKeyStore@@PEAVServerFullDuplexChannel@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@@@6B@
       1796  703 001C5D80 ??_7?$SafeMap@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@6B@
       1797  704 001C56C8 ??_7?$SafeMap@_KPEAVSendPacketArgs@RobustConnectionBuffer@@V?$SafeMap_Iterator@_KPEAVSendPacketArgs@RobustConnectionBuffer@@@@@@6B@
       1798  705 001C7428 ??_7?$SafeSet@PEAVCCertMapping@@@@6B@
       1799  706 001C7428 ??_7?$SafeSet@PEAVCListenerOperation@@@@6B@
       1800  707 001C7428 ??_7?$SafeSet@PEAVCShellUriSettings@@@@6B@
       1801  708 001C7428 ??_7?$SafeSet@PEAX@@6B@
       1802  709 001C6DC8 ??_7BufferFormatter@@6B@
       1803  70A 001C5F20 ??_7CBaseConfigCache@@6BIConfigChangeObserver@@@
       1804  70B 001C5F38 ??_7CBaseConfigCache@@6BILifeTimeMgmt@@@
       1805  70C 001C5EC8 ??_7CClientConfigCache@@6BIConfigChangeObserver@@@
       1806  70D 001C5EE0 ??_7CClientConfigCache@@6BILifeTimeMgmt@@@
       1807  70E 001C5768 ??_7CConfigManager@@6B@
       1808  70F 001C5590 ??_7CErrorContext@@6B@
       1809  710 001C6FB0 ??_7CRequestContext@@6BCErrorContext@@@
       1810  711 001C6FA8 ??_7CRequestContext@@6BEtwCorrelationHelper@@@
       1811  712 001CEF58 ??_7CServiceConfigCache@@6BIConfigChangeObserver@@@
       1812  713 001CEF70 ??_7CServiceConfigCache@@6BILifeTimeMgmt@@@
       1813  714 001C8950 ??_7CWSManEPR@@6B@
       1814  715 001C5698 ??_7CWSManGroupPolicyManager@@6B@
       1815  716 001C5930 ??_7CWSManResource@@6B@
       1816  717 001C5700 ??_7CWSManResourceNoResourceUri@@6B@
       1817  718 001C89F0 ??_7CWSManSecurityUI@@6B@
       1818  719 001CF1E0 ??_7CWinRSPluginConfigCache@@6BIConfigChangeObserver@@@
       1819  71A 001CF1A0 ??_7CWinRSPluginConfigCache@@6BILifeTimeMgmt@@@
       1820  71B 001C8878 ??_7CircularBufferFormatter@@6B@
       1821  71C 001C6C48 ??_7EtwCorrelationHelper@@6B@
       1822  71D 001C6C80 ??_7IConfigChangeObserver@@6B@
       1823  71E 001C56E8 ??_7ILifeTimeMgmt@@6B@
       1824  71F 001C6CC0 ??_7IRequestContext@@6B@
       1825  720 001C5900 ??_7IWSManGroupPolicyObserver@@6B@
       1826  721 001C6C50 ??_7IWSManGroupPolicyPublisher@@6B@
       1827  722 001C8988 ??_7PacketParser@@6B@
       1828  723 001C6C98 ??_7UserAuthzRecord@@6B@
       1829  724 001C8868 ??_7UserRecord@@6B@
       1830  725 0005D380 ??_FCErrorContext@@QEAAXXZ
       1831  726 0005D3C0 ??_FRBUFFER@@QEAAXXZ
       1832  727 0002B600 ?Acquire@?$SafeMap@PEAVCCertMapping@@UEmpty@@V?$SafeMap_Iterator@PEAVCCertMapping@@UEmpty@@@@@@UEBAXXZ
       1833  728 0002B600 ?Acquire@?$SafeMap@PEAVCCertMapping@@UEmpty@@V?$SafeSet_Iterator@PEAVCCertMapping@@@@@@UEBAXXZ
       1834  729 0002B600 ?Acquire@?$SafeMap@PEAVCListenerConnect@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerConnect@@PEAV1@@@@@UEBAXXZ
       1835  72A 0002B600 ?Acquire@?$SafeMap@PEAVCListenerOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVCListenerOperation@@UEmpty@@@@@@UEBAXXZ
       1836  72B 0002B600 ?Acquire@?$SafeMap@PEAVCListenerOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@UEBAXXZ
       1837  72C 0002B600 ?Acquire@?$SafeMap@PEAVCListenerReceive@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerReceive@@PEAV1@@@@@UEBAXXZ
       1838  72D 0002B600 ?Acquire@?$SafeMap@PEAVCListenerSend@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerSend@@PEAV1@@@@@UEBAXXZ
       1839  72E 0002B600 ?Acquire@?$SafeMap@PEAVCListenerSignal@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerSignal@@PEAV1@@@@@UEBAXXZ
       1840  72F 0002B600 ?Acquire@?$SafeMap@PEAVCShellUriSettings@@UEmpty@@V?$SafeSet_Iterator@PEAVCShellUriSettings@@@@@@UEBAXXZ
       1841  730 0002B600 ?Acquire@?$SafeMap@PEAVCollector@@UEmpty@@V?$SafeMap_Iterator@PEAVCollector@@UEmpty@@@@@@UEBAXXZ
       1842  731 0002B600 ?Acquire@?$SafeMap@PEAVCollector@@UEmpty@@V?$SafeSet_Iterator@PEAVCollector@@@@@@UEBAXXZ
       1843  732 0002B600 ?Acquire@?$SafeMap@PEAVHostOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVHostOperation@@UEmpty@@@@@@UEBAXXZ
       1844  733 0002B600 ?Acquire@?$SafeMap@PEAVHostOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVHostOperation@@@@@@UEBAXXZ
       1845  734 0002B600 ?Acquire@?$SafeMap@PEAVIOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVIOperation@@UEmpty@@@@@@UEBAXXZ
       1846  735 0002B600 ?Acquire@?$SafeMap@PEAVIOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVIOperation@@@@@@UEBAXXZ
       1847  736 0002B600 ?Acquire@?$SafeMap@PEAVListenerSourceSubscription@@UEmpty@@V?$SafeMap_Iterator@PEAVListenerSourceSubscription@@UEmpty@@@@@@UEBAXXZ
       1848  737 0002B600 ?Acquire@?$SafeMap@PEAVListenerSourceSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVListenerSourceSubscription@@@@@@UEBAXXZ
       1849  738 0002B600 ?Acquire@?$SafeMap@PEAVPushSubscription@@UEmpty@@V?$SafeMap_Iterator@PEAVPushSubscription@@UEmpty@@@@@@UEBAXXZ
       1850  739 0002B600 ?Acquire@?$SafeMap@PEAVPushSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVPushSubscription@@@@@@UEBAXXZ
       1851  73A 0002B600 ?Acquire@?$SafeMap@PEAXUEmpty@@V?$SafeSet_Iterator@PEAX@@@@UEBAXXZ
       1852  73B 0002B600 ?Acquire@?$SafeMap@UPluginKey@@KV?$SafeMap_Iterator@UPluginKey@@K@@@@UEBAXXZ
       1853  73C 0002B600 ?Acquire@?$SafeMap@UUserKey@@PEAVBlockedRecord@@V?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@@@UEBAXXZ
       1854  73D 0002B600 ?Acquire@?$SafeMap@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@V?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@@@UEBAXXZ
       1855  73E 0002B600 ?Acquire@?$SafeMap@VGuidKey@@PEAVCListenerCommand@@V?$SafeMap_Iterator@VGuidKey@@PEAVCListenerCommand@@@@@@UEBAXXZ
       1856  73F 0002B600 ?Acquire@?$SafeMap@VKey@CWmiPtrCache@@VMapping@2@V?$SafeMap_Iterator@VKey@CWmiPtrCache@@VMapping@2@@@@@UEBAXXZ
       1857  740 0002B600 ?Acquire@?$SafeMap@VKey@Locale@@KV?$SafeMap_Iterator@VKey@Locale@@K@@@@UEBAXXZ
       1858  741 0002B600 ?Acquire@?$SafeMap@VStringKey@@PEAVListenerEvents@@V?$SafeMap_Iterator@VStringKey@@PEAVListenerEvents@@@@@@UEBAXXZ
       1859  742 0002B600 ?Acquire@?$SafeMap@VStringKey@@PEAVListenerSourceSubscription@@V?$SafeMap_Iterator@VStringKey@@PEAVListenerSourceSubscription@@@@@@UEBAXXZ
       1860  743 0002B600 ?Acquire@?$SafeMap@VStringKey@@UOption@WinRM_OperationOptions@@V?$SafeMap_Iterator@VStringKey@@UOption@WinRM_OperationOptions@@@@@@UEBAXXZ
       1861  744 0002B600 ?Acquire@?$SafeMap@VStringKeyCI@@KV?$SafeMap_Iterator@VStringKeyCI@@K@@@@UEBAXXZ
       1862  745 0002B600 ?Acquire@?$SafeMap@VStringKeyCI@@PEAVIISEndpoint@@V?$SafeMap_Iterator@VStringKeyCI@@PEAVIISEndpoint@@@@@@UEBAXXZ
       1863  746 0002B600 ?Acquire@?$SafeMap@VStringKeyCI@@UEmpty@@V?$SafeMap_Iterator@VStringKeyCI@@UEmpty@@@@@@UEBAXXZ
       1864  747 0002B600 ?Acquire@?$SafeMap@VStringKeyCI@@UEmpty@@V?$SafeSet_Iterator@VStringKeyCI@@@@@@UEBAXXZ
       1865  748 0002B600 ?Acquire@?$SafeMap@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@V?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@@@UEBAXXZ
       1866  749 0002B600 ?Acquire@?$SafeMap@VStringKeyStore@@PEAVExpiredOperationIdRecord@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@@@UEBAXXZ
       1867  74A 0002B600 ?Acquire@?$SafeMap@VStringKeyStore@@PEAVServerFullDuplexChannel@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@@@UEBAXXZ
       1868  74B 0002B600 ?Acquire@?$SafeMap@VTokenCacheKey@ServiceSoapProcessor@@VTokenCacheMapping@2@V?$SafeMap_Iterator@VTokenCacheKey@ServiceSoapProcessor@@VTokenCacheMapping@2@@@@@UEBAXXZ
       1869  74C 0002B600 ?Acquire@?$SafeMap@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@UEBAXXZ
       1870  74D 0002B600 ?Acquire@?$SafeMap@_KPEAVSendPacketArgs@RobustConnectionBuffer@@V?$SafeMap_Iterator@_KPEAVSendPacketArgs@RobustConnectionBuffer@@@@@@UEBAXXZ
       1871  74E 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCCertMapping@@UEmpty@@V?$SafeMap_Iterator@PEAVCCertMapping@@UEmpty@@@@@@QEAAXXZ
       1872  74F 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCCertMapping@@UEmpty@@V?$SafeSet_Iterator@PEAVCCertMapping@@@@@@QEAAXXZ
       1873  750 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCListenerOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVCListenerOperation@@UEmpty@@@@@@QEAAXXZ
       1874  751 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCListenerOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@QEAAXXZ
       1875  752 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCShellUriSettings@@UEmpty@@V?$SafeMap_Iterator@PEAVCShellUriSettings@@UEmpty@@@@@@QEAAXXZ
       1876  753 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAVCShellUriSettings@@UEmpty@@V?$SafeSet_Iterator@PEAVCShellUriSettings@@@@@@QEAAXXZ
       1877  754 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAXUEmpty@@V?$SafeMap_Iterator@PEAXUEmpty@@@@@@QEAAXXZ
       1878  755 0005D6B0 ?Acquire@?$SafeMap_Lock@PEAXUEmpty@@V?$SafeSet_Iterator@PEAX@@@@QEAAXXZ
       1879  756 0005D6B0 ?Acquire@?$SafeMap_Lock@UPluginKey@@KV?$SafeMap_Iterator@UPluginKey@@K@@@@QEAAXXZ
       1880  757 0005D6B0 ?Acquire@?$SafeMap_Lock@UUserKey@@PEAVBlockedRecord@@V?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@@@QEAAXXZ
       1881  758 0005D6B0 ?Acquire@?$SafeMap_Lock@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@V?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@@@QEAAXXZ
       1882  759 0005D6B0 ?Acquire@?$SafeMap_Lock@VKey@Locale@@KV?$SafeMap_Iterator@VKey@Locale@@K@@@@QEAAXXZ
       1883  75A 0005D6B0 ?Acquire@?$SafeMap_Lock@VStringKeyCI@@KV?$SafeMap_Iterator@VStringKeyCI@@K@@@@QEAAXXZ
       1884  75B 0005D6B0 ?Acquire@?$SafeMap_Lock@VStringKeyCI@@UEmpty@@V?$SafeSet_Iterator@VStringKeyCI@@@@@@QEAAXXZ
       1885  75C 0005D6B0 ?Acquire@?$SafeMap_Lock@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@V?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@@@QEAAXXZ
       1886  75D 0005D6B0 ?Acquire@?$SafeMap_Lock@VStringKeyStore@@PEAVExpiredOperationIdRecord@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@@@QEAAXXZ
       1887  75E 0005D6B0 ?Acquire@?$SafeMap_Lock@VStringKeyStore@@PEAVServerFullDuplexChannel@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@@@QEAAXXZ
       1888  75F 0005D6B0 ?Acquire@?$SafeMap_Lock@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@QEAAXXZ
